tipo,rubro,subregion,anio,municipio,area_total,area_produccion,volumen_produccion
Transitorios,Tomate Chonto,Valle de Aburra,1999,Medellín,40.2,36.4,655.2
Permanentes,Chirimoya,Occidente,1999,Santa Fe de Antioquia,33.0,33.0,66.0
Transitorios,Arroz Tradicional,Bajo Cauca,2012,Nechí,1050.0,1050.0,2625.0
Transitorios,Maíz Tradicional,Occidente,2008,Sabanalarga,75.0,75.0,50.0
Permanentes,Maracuyá,Occidente,2017,Liborina,4.0,4.0,32.0
Transitorios,Maíz Tradicional,Suroeste,1997,Urrao,1200.0,1200.0,1200.0
Transitorios,Fríjol Voluble,Oriente,2005,Rionegro,370.0,370.0,777.0
Permanentes,Plátano En Asocio,Nordeste,2009,Anorí,68.0,68.0,408.0
Transitorios,Maíz Tradicional,Occidente,2019,Heliconia,46.0,45.2,104.6
Permanentes,Caña,Nordeste,2018,Yalí,1107.0,1102.0,4959.0
