tipo,rubro,subregion,anio,municipio,area_total,area_produccion,volumen_produccion
Transitorios,Fríjol Arbustivo,Magdalena Medio,2000,Maceo,15.0,15.0,5.3
Permanentes,Café,Nordeste,1990,San Roque,1741.0,1701.0,2988.657
Anuales,Yuca,Suroeste,1996,Salgar,77.5,77.5,930.0
Permanentes,Cardamomo,Suroeste,2010,Támesis,9.0,9.0,18.0
Anuales,Yuca,Nordeste,2001,San Roque,120.0,120.0,2160.0
Permanentes,Aguacate,Norte,2011,Belmira,2.5,0.0,0.0
Permanentes,Guanábana,Magdalena Medio,2003,Maceo,97.0,96.0,384.0
Permanentes,Caña,Nordeste,1992,Yalí,917.0,871.0,3484.0
Permanentes,Café,Valle de Aburra,2009,La Estrella,66.0,66.0,52.8
Transitorios,Arroz Tecnificado,Urabá,2016,San Juan de Urabá,360.0,360.0,2160.0
